U,RF
-0.0,-0.0
0.012529642321169376,931.6380004882812
0.025059284642338753,1863.2760009765625
0.043853748589754105,3260.73291015625
0.07204544544219971,5356.91845703125
0.11433298140764236,8501.1962890625
0.17776429653167725,13217.6142578125
0.25059282779693604,18632.759765625
0.25059282779693604,18632.759765625
0.2946349084377289,21832.75390625
0.33867695927619934,25032.75
0.40474003553390503,29832.7421875
0.5038346648216248,37032.73046875
0.6524766087532043,47832.71484375
0.8956469297409058,64032.6875
0.964897096157074,68082.6796875
1.0436763763427734,72132.6796875
1.0748202800750732,73651.421875
1.1250801086425781,75929.546875
1.2155405282974243,79346.7265625
1.3381524085998535,82763.90625
1.502600908279419,86181.09375
1.7212886810302734,89598.2734375
1.9973019361495972,93015.453125
2.5275425910949707,98141.2265625
3.158817768096924,103267.0
3.8283956050872803,108392.7734375
4.48878812789917,113518.546875
5.1011834144592285,118644.3203125
5.917757987976074,126332.984375
6.6486992835998535,134021.640625
6.8262176513671875,135943.8125
6.997612953186035,137865.96875
7.243416786193848,140749.21875
7.599204063415527,145074.09375
8.126569747924805,151561.390625
8.325268745422363,153994.140625
8.624740600585938,157643.25
9.076430320739746,163116.90625
9.534045219421387,168590.578125
10.00918960571289,174064.25
10.129868507385254,175432.65625
10.252079963684082,176801.078125
10.438785552978516,178853.703125
10.722411155700684,181932.640625
11.140036582946777,186551.046875
11.56287670135498,191169.453125
11.98155689239502,195787.84375
12.137946128845215,197519.75
12.368539810180664,200117.609375
12.454495429992676,201091.796875
12.486605644226074,201457.125
12.534245491027832,202005.109375
12.603967666625977,202827.078125
12.70595645904541,204060.046875
12.855524063110352,205909.5
13.080657958984375,208683.671875
13.43298053741455,212844.921875
13.568094253540039,214405.40625
13.619049072265625,214990.578125
13.694518089294434,215868.34375
13.806150436401367,217184.984375
13.971505165100098,219159.96875
14.219627380371094,222122.421875
14.31291389465332,223233.34375
14.448851585388184,224899.71875
14.647829055786133,227399.296875
14.942343711853027,231148.65625
15.015883445739746,232086.0
15.089130401611328,233023.34375
15.1985445022583,234429.34375
15.30795669555664,235835.359375
15.417807579040527,237241.375
15.583529472351074,239350.390625
15.832306861877441,242513.90625
15.925551414489746,243700.234375
16.06557846069336,245479.71875
16.117996215820312,246147.015625
16.201627731323242,247147.96875
16.346012115478516,248649.40625
16.590166091918945,250901.5625
17.042652130126953,254279.8125
17.088287353515625,254596.515625
17.159006118774414,255071.578125
17.270761489868164,255784.171875
17.450828552246094,256853.0625
17.7464656829834,258456.40625
18.251087188720703,260861.421875
18.45328140258789,261763.296875
18.778413772583008,263116.125
19.32662582397461,265145.34375
20.287385940551758,268189.1875
22.01294708251953,272754.96875
24.093610763549805,277320.71875
26.53535270690918,281886.5
30.97053337097168,288735.15625
32.132293701171875,290447.3125
33.35334014892578,292159.46875
34.630958557128906,293871.625
36.68840408325195,296439.875
40.08555603027344,300292.25
40.409278869628906,300653.40625
40.90187072753906,301195.15625
41.657249450683594,302007.75
42.42942810058594,302820.375
43.219032287597656,303632.96875
44.44178771972656,304851.875
46.36724853515625,306680.25
49.4856071472168,309422.8125
52.83736801147461,312165.34375
56.40169143676758,314907.90625
60.16888427734375,317650.46875
64.16535186767578,320393.03125
70.67764282226562,324506.84375
73.20159149169922,326049.53125
77.15448760986328,328363.5625
78.66488647460938,329231.3125
80.98818969726562,330532.96875
84.61062622070312,332485.4375
90.38726806640625,335414.125
92.01300048828125,336218.65625
92.62858581542969,336520.34375
93.56169891357422,336972.90625
94.98272705078125,337651.71875
97.07914733886719,338632.25
