SMAX,EMAX
0.0,0.0
14.920770645141602,7.460385677404702e-05
29.841541290283203,0.00014920771354809403
44.76231384277344,0.00022381155577022582
59.683082580566406,0.00029841542709618807
74.60385131835938,0.00037301925476640463
89.52462768554688,0.00044762311154045165
104.44539642333984,0.0005222269683144987
119.36616516113281,0.0005968308541923761
134.2869415283203,0.0006714346818625927
149.20770263671875,0.0007460385095328093
164.12847900390625,0.0008206423954106867
179.04925537109375,0.0008952462230809033
193.9700164794922,0.0009698501089587808
208.8907928466797,0.0010444539366289973
223.81155395507812,0.0011190577642992139
238.73233032226562,0.0011936617083847523
253.65310668945312,0.0012682655360549688
268.5738830566406,0.0013428693637251854
283.49462890625,0.001417473191395402
298.4154052734375,0.0014920770190656185
313.336181640625,0.001566680963151157
328.2569580078125,0.0016412847908213735
343.177734375,0.00171588861849159
358.0985107421875,0.0017904924461618066
373.0192565917969,0.001865096390247345
387.9400329589844,0.0019397002179175615
402.8608093261719,0.004057738929986954
417.7815856933594,0.014790036715567112
432.7023620605469,0.02552233263850212
447.62310791015625,0.036254629492759705
462.54388427734375,0.04698692634701729
477.46466064453125,0.05771922692656517
492.38543701171875,0.06845152378082275
507.30621337890625,0.07918381690979004
522.2269897460938,0.08991611748933792
537.1477661132812,0.1006484106183052
540.0406494140625,0.10269404947757721
